KEY,X,Y,LNPRICE,YEAR97,YEAR98,YEAR99,YEAR00,YEAR01,LNSURAREA,LNNT,NBATH,INSIDE,MONUM,GAS_NOCV,OPENFIRE,GARAGE,DETACHED,SEMIDETA,CORNER,TERRACED,APPARTME,URBATTR,P_ALLOCH,HIGHDS_KM,RAILDS_KM,DRAIL_10,DHIGH_10,SUMOPENHA,SUMAGRHA,SUMURBHA,SUMNATHA,SUMWAHA,DIST_LOCAL,DISTREG_KM,ViewOpenSpace,PresLocOpen25,PresLocOpen50,PresLocOpen100,ISNIEUWBOU
59527,146611,473288,12.86,0,0,0,1,0,7.25,1.39,1,4,0,1,0,1,1,0,0,0,0,0,3,2.16,4.66,0,0,2.8811,2.8723,.0088,0,0,0,0,1,0,0,0,0
53401,142185,476152,14.03,0,1,0,0,0,8.42,1.95,1,4,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,2.411,0,0,2.411,0,0,0,1,0,0,0,0
43354,136693,480596,13.58,0,0,0,1,0,8.05,1.79,3,4,0,0,0,1,1,0,0,0,0,0,2,1.29,2.55,0,1,2.8512,2.5494,0,0,.3018,0,.34,1,0,0,0,0
44749,143213,479904,14.05,0,0,1,0,0,8.63,1.61,1,4,0,0,1,1,1,0,0,0,0,0,2,3.35,4.89,0,0,3.1416,0,0,3.1416,0,0,0,1,0,0,0,0
57812,149330,473730,13.43,0,1,0,0,0,8.07,1.61,1,4,0,0,0,0,1,0,0,0,0,0,1,3.41,5.08,0,0,2.9372,2.9372,0,0,0,0,0,1,0,0,0,0
62583,144051,471221,14.1,0,0,0,1,0,8.8,2.2,2,5,0,0,0,1,1,0,0,0,0,0,6,.97,3.06,0,0,3.1416,1.9205,0,1.2211,0,0,0,1,0,0,0,0
55031,143586,475622,14.78,0,1,0,0,0,9.54,2.08,2,3,0,0,1,1,1,0,0,0,0,0,4,.96,3.92,0,0,2.9791,.0386,0,2.9405,0,0,0,1,0,0,0,0
70128,138613,467822,13.82,0,0,0,1,0,8.66,1.61,1,4,0,0,1,1,1,0,0,0,0,0,7,2.71,3.13,0,0,1.6344,.8416,.682,.1108,0,0,0,1,0,0,0,0
44750,142191,479824,12.91,0,1,0,0,0,7.82,1.95,1,4,0,0,0,0,0,1,0,0,0,0,2,2.75,4.06,0,0,3.0989,.7678,0,2.3311,0,0,0,1,0,0,0,0
59550,144667,472691,13.29,0,1,0,0,0,8.29,1.61,1,3,0,0,0,1,1,0,0,0,0,0,1,.63,4.09,0,0,2.0343,0,0,2.0343,0,0,.73,1,0,0,0,0
70127,138613,467822,13.28,0,1,0,0,0,8.85,1.95,1,4,0,0,0,1,1,0,0,0,0,0,7,2.71,3.13,0,0,1.6344,.8416,.682,.1108,0,0,0,1,0,0,0,0
71237,140678,467033,13.1,1,0,0,0,0,9.42,1.61,1,3,0,0,1,1,0,1,0,0,0,0,3,.72,1.47,0,0,2.9718,0,0,2.9718,0,0,0,1,0,0,0,0
54273,145368,475402,12.27,0,1,0,0,0,5.59,1.1,1,3,0,1,0,1,0,1,0,0,0,0,2,1.57,5.7,0,0,1.4998,1.4998,0,0,0,.05,.7,1,0,0,0,0
54276,145435,475354,12.89,0,0,1,0,0,6.44,1.1,2,4,0,0,1,0,0,0,1,0,0,0,2,1.52,5.76,0,0,2.4496,2.4496,0,0,0,.13,.62,1,0,0,0,0
71238,139552,467016,13.12,0,0,0,1,0,7.02,1.61,1,4,0,0,1,0,1,0,0,0,0,0,3,1.78,1.9,0,0,1.5503,0,0,1.5503,0,.3,0,1,0,0,0,0
71239,139552,467016,13.02,0,0,1,0,0,7,1.61,1,4,0,1,0,0,1,0,0,0,0,0,3,1.78,1.9,0,0,1.5503,0,0,1.5503,0,.3,0,1,0,0,0,0
73257,140619,466082,12.32,1,0,0,0,0,6.77,1.39,1,3,0,0,0,1,0,1,0,0,0,0,3,1.5,.54,0,0,2.8032,1.0166,0,1.7866,0,.57,0,1,0,0,0,0
56707,143706,475329,13.12,0,1,0,0,0,7.04,1.61,1,4,0,0,0,1,0,1,0,0,0,0,4,1.02,4.03,0,0,2.8093,2.7068,0,.1025,0,.71,0,1,0,0,0,0
63305,142168,471068,12.62,0,0,1,0,0,5.7,1.61,1,5,0,0,0,1,1,0,0,0,0,0,19,2.28,1.17,0,0,.8875,0,.8875,0,0,.73,.33,1,0,0,0,0
63304,142168,471068,12.27,1,0,0,0,0,5.67,1.61,1,4,0,0,0,1,1,0,0,0,0,0,19,2.28,1.17,0,0,.8875,0,.8875,0,0,.73,.33,1,0,0,0,0
51465,146382,477348,12.55,0,0,0,1,0,5.45,1.61,1,4,0,0,1,0,0,0,1,0,0,0,5,1.16,6.41,0,0,1.7311,0,1.7311,0,0,.89,.03,1,0,0,0,0
64265,138971,470695,12.28,0,0,0,0,1,5.35,1.39,2,4,0,0,0,0,0,1,0,0,0,.1054,3,3.68,2.05,0,0,1.6273,0,0,1.5529,.0744,.97,0,1,0,0,0,0
55032,143836,475620,13.5,0,0,1,0,0,7.1,2.08,2,3,0,0,0,1,1,0,0,0,0,0,4,1.2,4.17,0,0,1.1687,0,0,1.1687,0,1.32,.02,1,0,0,0,0
